,label,feature
10,car_horn,"[-262.54114201599003, 160.57635769566355, -36.67077849640902, 48.91106543632605, -28.47705005330749, 37.476315922761806, -18.839752515377636, -0.5622017455756931, -13.922095982081077, 1.1664349955299773, -10.748220060402959, -4.498226166423041, -3.355483328946333, -16.120744396166682, 0.9278661612445243, -5.468126668269784, 3.093312655028677, -10.287779968626277, 3.622400846016786, -6.306612192573883]"
11,car_horn,"[-265.402960365154, 145.93143860467273, -47.7066786550526, 46.36299661105573, -14.247717125977763, 33.67012626909639, -14.02935277881999, -2.647049038633812, -6.6182456873738325, 6.201597017790387, -3.811869778149132, -13.321584681407025, -9.462099539568952, 5.2437861416339215, 1.8776039022813222, -14.388617228043106, -4.4247439728572155, -8.896267201608978, 8.405608087393347, -5.628678696340244]"
12,car_horn,"[-271.20663092198976, 176.87645040609792, -60.90152992826649, 59.89634884530728, -32.01056286410932, 43.26334977020227, -14.8537849996342, 0.2890445428448732, -12.127421381789375, 8.623187479159823, -1.6407786275991956, -5.266508675921371, -4.101450884457858, -13.893044952836648, 1.5722431905737546, -8.44448430745591, 2.997178637356376, -7.440863014272762, 1.7390499149374483, -9.253876014434582]"
13,car_horn,"[-145.219637131726, 105.9488087611727, -33.51175248173355, 31.26111923750939, -20.425263021705952, 25.999597576034745, 11.465227326651501, -5.579158516129818, -11.456342339851004, -0.20502036715994112, -3.1522926592205556, -3.07193497415218, -1.912058419082957, -9.037658447098071, -4.874486597775956, -7.121875785711647, -2.996493163542718, -2.646716809571414, 0.12837672174736, -4.827405487127024]"
14,dog_bark,"[-318.74823672500537, 156.43893046357874, -31.10212884474513, -33.42898989519532, -25.416841290178617, 1.9946201021022598, 1.882678803494368, -10.537125903341575, -2.4177854177786986, -4.368903450806782, -1.498597761566062, -5.047947458424441, -6.472119484629158, -3.043137960160598, -2.646982167589287, -1.2182779116632536, -3.049383700902842, -0.11431953644694533, 5.685151284853008, 9.81571671777783]"
15,dog_bark,"[-337.0227864768906, 156.61770325502266, -25.43306413671517, -43.93236853736999, -27.157685967058054, -0.25161936037334764, 3.864179373356561, -9.51541968561576, -4.68313492719293, -3.4500176859817366, -3.2821658006496732, -4.192722550438498, -4.436866365742035, -3.7088800164112783, -4.676012725103453, -2.8382955360776156, -4.079435736790322, -1.4685665640324455, 5.699156206031145, 11.045234168159421]"
16,dog_bark,"[-346.2276716317358, 152.5672400905434, -20.766852847709803, -44.022603011735534, -26.494623060484088, 1.347338464942772, 4.512626602038799, -8.658084481234146, -3.314457988409439, -3.3141542227492184, -5.596120291421532, -5.647920341239925, -5.478267181805234, -4.812044707950662, -4.221870078414256, -2.0399192154590904, -0.9385429236336449, 1.9667298626872909, 4.743098958199054, 8.38598736709509]"
17,dog_bark,"[-344.2724943470492, 148.34848387737324, -15.700871657607346, -51.34095139462639, -26.11855664286854, 2.5583287877397254, 2.8893032803079266, -8.557470360699597, -4.996580142668758, -4.659397919975417, -6.030055017060605, -5.739920748074516, -7.147161721906947, -6.349370551320081, -3.6177103494614316, -3.142388114779209, -3.149358634678609, 1.9920110536572924, 7.061047174683319, 11.443664570722424]"
18,dog_bark,"[-349.24425679960723, 115.11938815104143, -6.540154883457652, -40.35158190742203, -32.52100456166569, -14.653948653200006, -0.9223307491395977, -3.651078632248386, -4.200538715774233, 2.3322292349800144, 5.6314011002301285, 5.739373453992588, 6.240172148164652, 5.4698437512042775, 1.1580387925881328, -1.4577128227644145, 1.6593969114707325, 2.2053172378448567, -2.1953758085748705, -3.3954239662728916]"
19,dog_bark,"[-361.6534946947819, 138.67163110955065, 7.3950004585770355, -26.783010470236658, -33.31283512048947, -19.606860648120815, -5.51807049044374, -5.61517913892144, -2.525417818521661, 3.5196181208730986, 1.434578168490335, -6.974886166719281, -5.231658719644681, 2.7138910982897118, 5.3619705612953314, 3.115150014358621, 4.039145472525093, 4.193509843470341, 1.9375688439221466, 5.226145194738174]"
20,dog_bark,"[-367.52356185407143, 132.5208870148138, 5.133317532924835, -28.418946800645784, -31.98585650445247, -18.863748068546897, -3.300081859014975, -4.535964218203624, -2.3362956726049737, 4.253595236817667, 2.1090093699187675, -5.968973008007142, -5.56158733895381, 2.91857039031655, 6.867842063503794, 5.961473285334759, 5.877261024248113, 3.340086553590353, 0.919092937354228, 3.7488905453998758]"
21,dog_bark,"[-361.507691614456, 138.72144056572577, 6.218011329983199, -28.70125144633984, -35.39792480650475, -20.687648271187616, -2.9131546287574346, -3.6300154841098067, -2.0036162735150516, 4.732912061205403, 2.7467484504413187, -6.7843033596478435, -5.776870373200738, 2.3562422774560883, 4.484761915233906, 4.112692966568601, 5.007143157373807, 1.8109233227456432, -0.9504449176625221, 2.08251112991744]"
22,air_conditioner,"[-82.70852069993263, 163.15036251469294, -81.74042758146967, 50.186703548593336, -18.512565496718636, 31.277564748820904, -16.260773758357615, 21.489682604275455, -2.898691962098775, 11.001841099999334, 4.522526080027522, 6.259886089645925, 5.46192461946747, 0.23892260838611037, 10.724662305431371, -4.512529044992412, 7.306230298458317, -3.904308424496242, 5.221491022946794, -1.8406642861005176]"
23,air_conditioner,"[-79.5987129269396, 165.14352550345922, -82.00534948695477, 50.38042603685388, -17.956139673552148, 31.37069399053103, -15.801473157959324, 21.619822292220576, -2.4024467622163677, 11.740243070250704, 5.234533519084096, 6.714400434113124, 4.695341430099253, 0.4707703713991821, 10.280181300513844, -4.146636507655526, 7.6030554461129585, -3.791471128047908, 4.899825941760111, -1.6719662153860881]"
24,air_conditioner,"[-76.28042867189468, 168.99542770058255, -92.05587638684631, 58.921963211568624, -24.537014953737522, 33.39169006192856, -11.46470707415497, 16.812394438073582, 3.7059994918470127, 3.3062757373812546, 12.626646466677911, 0.41973341491665317, 7.573005659660737, -2.3162881674894398, 11.96431030504851, -4.8068985088330525, 4.968836788659285, -1.313707575802446, 1.8991787744081918, 4.913529772194639]"
25,air_conditioner,"[-75.71814748888046, 167.75668664555516, -91.54900817948182, 58.7546881259472, -24.020339531989663, 32.780852382999626, -11.202470778840182, 17.041761875396766, 3.607243300884974, 2.851421302204371, 11.887387427116677, 0.07235265245146573, 7.380249680027128, -1.8324763154030896, 11.400338939012034, -5.039678338331639, 4.984842032135334, -1.7835494975650799, 2.447941438617075, 4.243095643381976]"
26,air_conditioner,"[-82.24317259039087, 170.27930883525218, -93.37212803847052, 59.63914938168266, -23.688491971935022, 31.709508730649432, -11.841269356216353, 15.446180512465261, 4.417660182788071, 1.772943618001156, 13.105172326729434, -1.6488387568613214, 8.062645274421616, -1.5761496311214824, 11.304099048921056, -4.935484086302172, 4.902398412300403, -1.4179345261502219, 2.00129479049601, 4.967302148590812]"
27,air_conditioner,"[-86.29502603718933, 172.8992305084084, -96.67828159437502, 61.56004305520632, -24.71087151777488, 32.127797856420194, -12.528910183749131, 14.541439761829842, 4.794396938940497, 0.674753946637759, 14.595390157023443, -2.879512386661324, 8.542911233223379, -2.064861885608851, 11.29820763535298, -4.269796014239228, 4.563639526884274, -1.0315875529332752, 1.1649828700436389, 5.888987125679806]"
28,air_conditioner,"[-84.63006623116466, 171.22238973391936, -95.57492347880815, 60.09706499406932, -23.15553481159335, 31.48649474078104, -11.394345324818346, 14.146959992747119, 4.780594439734842, -0.23430539255926308, 14.593103224842233, -2.5526526396038345, 8.285591942570814, -1.7828442754710274, 10.733274308730605, -4.04963036852366, 4.2473936826196015, -0.7223117352182391, 1.663239821505401, 5.793520386673799]"
29,air_conditioner,"[-83.79971915166372, 171.66232550216057, -95.17982510959692, 59.54078323274713, -23.056267388304672, 31.678851683727206, -11.038733017772039, 14.711880454077306, 5.462245382218579, -0.4258831801978142, 14.494755231985547, -2.1387743584919003, 8.3698033272046, -1.4334589240907807, 10.621206291641979, -3.9218847327905486, 4.311381394537947, -0.6059504573797292, 1.7315388657610213, 5.687544769538531]"
30,air_conditioner,"[-85.35382066555809, 173.72522010765417, -97.69574075847794, 62.04813977206274, -25.671818609607385, 33.97695070700035, -12.873732044917363, 16.51098951563095, 5.074675518502079, 0.5591319411564117, 13.88546332059752, -2.2383297211058455, 8.69433540236999, -1.5989841580364996, 11.798417772475409, -4.649472308157878, 4.749120348889679, -1.8001656097332213, 1.9732973480397105, 4.967351767790014]"
31,air_conditioner,"[-81.87490389944797, 168.62532671819972, -92.37141340035585, 58.28461644237736, -22.536974898022343, 31.256995036592983, -11.594252051613521, 15.086974181904981, 5.126415753036776, 1.0142068612679562, 12.63355757704846, -1.1031211951637672, 8.090738080762755, -0.43165578251734416, 11.017923361098623, -3.711635450917417, 4.849356624307219, -1.8472391667174617, 2.4995886233687834, 4.609090051951816]"
32,air_conditioner,"[-82.6303059414959, 169.56809429009934, -91.88486120438962, 58.064182960843574, -22.829641155281806, 30.992534695325684, -11.316068706123126, 14.106418611282841, 4.408925701859808, 0.6142842222471373, 12.995950572899723, -0.6511326431184437, 7.9796151308323795, -0.20043233892342427, 10.564367554149433, -3.4975221333876028, 4.7317154457863095, -1.7770331058483457, 3.1616907840311432, 4.58224666793691]"
33,air_conditioner,"[-85.36965011903723, 172.68343829935554, -94.71907266380458, 60.86046300233098, -24.616344126065172, 31.996027649769847, -12.05532885332503, 14.342299031637495, 3.9270320810523263, 0.1339273113593304, 14.171475087321792, -1.4365713639175484, 8.65678333494601, -0.23409566243504945, 11.208376434912655, -4.043000107026962, 4.675499301554122, -1.3802289522670337, 2.649617539041128, 5.034155225225634]"
34,air_conditioner,"[-80.78123459234969, 165.65128909209628, -81.94529317421717, 50.46939923507412, -17.691420266720634, 31.302488697603188, -15.620571194637558, 21.342280390565186, -2.425906297256827, 10.766635846977252, 5.350516782046236, 6.9474775468293135, 4.861351034485466, 0.682175313207624, 10.271075181706342, -4.644511595852759, 7.383807372838942, -3.989435769181302, 4.597015126641299, -1.3533336031881518]"
35,air_conditioner,"[-81.10367218923975, 167.03975821951565, -92.18497386576426, 59.57579683216401, -23.12244760205405, 31.39637373299453, -11.327594269985683, 15.030695052179599, 4.275311735311752, 2.532526844605367, 12.981099282390998, -0.6580441151146483, 8.165666895212205, 0.13851240309556143, 10.493133790719547, -3.732311871540045, 4.871160505000839, -1.759736356558972, 1.795424639802669, 4.313274486758417]"
36,air_conditioner,"[-81.68800814013547, 167.44346206941688, -93.42802173523019, 60.53720411868078, -23.97107670182425, 32.478855661756455, -10.399892194544634, 15.893534564303952, 5.120116367642442, 3.3693987054095738, 13.953447736649183, -1.172707081196851, 8.269117982585069, 0.030676467163925344, 10.430669167151855, -4.070049290888241, 4.596017653540012, -1.8191902227038013, 1.6030787632898986, 3.9184674145715763]"
37,air_conditioner,"[-84.00028908316735, 169.16836618793485, -93.12816331945615, 60.06697902251908, -23.593098995222267, 32.00499820613485, -9.314293720856332, 15.589409444669192, 4.969614548708416, 2.0711578088344247, 15.49944681151581, -2.0440380130736413, 8.69934756312977, 0.4066919762537874, 11.205430094644544, -4.622990977331731, 5.046856715279506, -1.5718968179694714, 1.7236971011411546, 3.9577440353095965]"
38,air_conditioner,"[-84.34592313085781, 169.04098349931357, -92.961109579231, 60.30629017069951, -24.14429579744658, 32.72142659150673, -9.973365761498906, 15.908958225886675, 3.542502898278131, 2.94850593536911, 14.724761665888607, -1.8415629005960457, 8.176194642367957, 0.13814894242239578, 11.389762500953566, -4.611602825846954, 5.793864362373021, -2.4415360093369376, 1.9537449150968376, 3.1058200813369616]"
39,air_conditioner,"[-83.65387937852029, 169.3038055264249, -93.39047565349428, 59.90228056194105, -23.875470648570452, 32.63774514139959, -8.812840166679392, 15.393599693383823, 3.8021383731356235, 2.3630835161823454, 15.251100163915211, -1.8084037412754512, 7.931757055728011, 0.3825256993040274, 10.544117918430738, -4.418061434517911, 5.36966944453524, -1.8886346661611602, 1.541954180958753, 3.1324465646712403]"
40,air_conditioner,"[-82.66224848416016, 169.67192186008782, -94.1758051346956, 60.6236545851246, -24.63970299642891, 33.516776947525614, -8.761120006667069, 16.197115958621822, 3.7466351995740217, 1.739839203747333, 15.637427143988653, -2.0194946275546237, 8.86831547013874, 0.22197164143090165, 10.618283119417905, -5.127953403717509, 5.517955045106294, -1.3258732230598183, 1.9596253623359083, 3.419725119850583]"
41,air_conditioner,"[-82.46441321629646, 169.54125007307647, -93.40995723479965, 61.81048657514671, -24.749906027733072, 34.02329102948475, -9.766084570704546, 16.684621397886342, 3.9310330781499045, 2.5593585231785254, 15.649481195170356, -2.76709006546295, 8.756539368732124, -0.3151036773044011, 10.948648932341362, -5.049738855500953, 5.121111520195759, -1.8776961887321786, 1.9055136122060767, 3.6587921585294256]"
42,air_conditioner,"[-83.98821829824936, 169.87162011344108, -93.40264238035826, 62.596828667574414, -24.621811043981317, 34.12595673444513, -9.788790928719079, 17.052438933025794, 4.500949666644397, 2.979709132129244, 16.14950654623738, -3.0552015926654743, 8.027661746069963, -0.7304737740226416, 11.238070571673369, -4.574210841067173, 4.357619213118619, -2.5485684483912503, 1.076459147729963, 3.8889194873864152]"
43,air_conditioner,"[-80.35519571174675, 164.6180486509524, -88.5390538944954, 58.3284994907281, -21.286922629812114, 30.224807862504257, -7.588501511784093, 15.357680688176808, 5.668055881374035, 2.488601316133338, 16.009932396912358, -2.747397363098242, 6.899987081158019, 0.12070692272553368, 10.361408477129409, -3.7849142571857577, 3.723858578027329, -1.6050611669578243, 1.2493322435798861, 4.38564625071087]"
44,air_conditioner,"[-77.10656311288724, 162.25189602843474, -87.4750267649197, 59.05615094092854, -22.14498019552559, 31.074086861748995, -9.313247419486101, 16.25099859082726, 4.0811515945930665, 4.2381896931382945, 14.478663392563881, -2.71089358191311, 6.255395984719038, 0.14870855165480512, 10.459948175209494, -4.040870458188662, 4.9914450861246, -2.063602636952361, 2.311140017626383, 3.952343370278409]"
45,air_conditioner,"[-81.09377265604049, 166.42370364187485, -82.71361304325569, 51.7143301657394, -18.195182762428157, 31.216835509019496, -14.585157555761606, 20.53563368179447, -1.6875152351103488, 9.170077856983994, 5.92863218013273, 5.914427044406982, 5.535159108681822, -0.07728874010198057, 10.71082396951221, -5.120317078487042, 7.128856489934816, -3.6685364121172053, 4.367797540096616, -0.36275777784128055]"
46,air_conditioner,"[-71.10155788040062, 158.61837660854786, -86.55134812969428, 59.6393781063037, -22.8989612510124, 32.953756016081826, -10.14499384962941, 17.55553810851876, 2.056286871424017, 6.013530179213961, 12.78315456403175, -1.3863042344752705, 6.340479728740122, 0.6129117758892703, 10.940291175461663, -4.449730993456156, 5.465858179227647, -2.5109011109344563, 3.584889171055085, 2.981748491135203]"
47,air_conditioner,"[-80.25023351586651, 167.96407710671107, -85.80781024993578, 53.104911368584375, -18.93134034369287, 30.72094726649403, -12.230662242296297, 18.110754145549112, 1.0739051629395797, 7.193037331262236, 7.762645168860974, 4.320836478192575, 5.31462453607909, -0.8117231661566172, 11.047941914883719, -4.285333437684561, 6.256901217813494, -3.0230079063404998, 2.850919997267452, 1.4617410675449924]"
48,air_conditioner,"[-79.41384484047727, 169.01690956693398, -88.13793992201163, 54.00216780288581, -19.24934148828678, 30.16901338044168, -11.104140057814472, 16.391475985517946, 3.1272798016135313, 4.868554596791196, 9.976077167347555, 3.2619802971806444, 5.762721750945536, -0.7594105396649891, 11.706905185861723, -3.8243994756042095, 5.451701295661846, -2.9974139894571716, 1.722466660590115, 3.2076964284280596]"
49,air_conditioner,"[-80.5321994207112, 169.9092348346632, -90.30088419542507, 55.982799941906876, -21.588109620141868, 31.4843785803682, -11.795031937895718, 17.071796196879784, 3.3356202852034835, 4.03435716426007, 10.712149129060105, 2.5878991488628884, 6.7119760519154585, -1.7000645889584938, 12.287918843812495, -4.764807460888352, 5.933901885432318, -3.508811504782334, 1.4317578515258804, 3.636271736454272]"
50,air_conditioner,"[-77.96641819225124, 168.4905498529194, -91.92467680199718, 56.271991535579886, -23.83099949898817, 31.38101975383797, -11.29594035784296, 17.395562376673475, 4.498241611681081, 3.304182719918317, 10.551376268708362, 1.4320604157309753, 6.659299702231803, -1.9433287989332522, 11.46173254953915, -5.291019296858825, 5.91233744268037, -2.345448982337246, 0.14285493313826267, 3.5772166761051847]"
51,air_conditioner,"[-80.01847288135511, 171.179202349148, -94.21132636965419, 58.22102199631991, -25.11539046831375, 32.1800933728972, -11.934346347010907, 17.03818276098475, 4.652972275362634, 1.902395332566462, 11.665846500906806, 0.48860167711057667, 7.277743481535691, -2.465747082733214, 12.336428724879356, -5.318495420669772, 5.692712809129909, -1.6506112774689272, 0.04513488925165111, 4.100763406332947]"
52,air_conditioner,"[-81.5006996373002, 171.21442244861086, -92.60493519680098, 58.1472342096301, -23.42933435787337, 32.26976013364311, -11.239371653145607, 15.669471817995097, 4.310816347112009, 1.8242603988342494, 13.221209403351063, 0.4625026522653684, 7.920403311053111, -2.564524037182577, 12.879088911385823, -5.120165902841444, 4.93524844717159, -1.4196302597295996, 1.0032363681317218, 4.9472625952597715]"
53,dog_bark,"[-239.9640818675803, 136.60662798667812, -97.26639751004531, 37.8967291608433, -51.790673213666985, 24.166143552519067, -14.96054862903617, -7.822692612270924, 0.2333915116114252, -21.344204489203012, 11.117778994390655, -11.8162522143429, 9.399239099001848, -8.263765266959073, -1.1142779266873681, -1.3634125577338105, -3.166233713889961, 8.617276846126185, -8.39157460116851, 7.90612511716948]"
54,dog_bark,"[-117.4863105208081, 154.04666056742394, -102.53331158005099, 39.48298910530382, -53.78288352194599, 18.804930128662107, -19.775937327878857, -10.36558616061022, -3.1594497790820664, -21.063512348425313, 9.88158851059745, -18.175794460012032, 4.2831945942896485, -10.728348735324893, -1.1239208252118749, -2.8089593641066464, -4.721468362333827, 7.53814462240237, -6.996364391821893, 8.316987336957943]"
55,dog_bark,"[-206.59030189877714, 155.06015162629083, -102.4956180436626, 32.89843301019255, -47.73172504264204, 22.54798796168864, -13.270653405309154, -8.004460691555158, 1.2227777121887307, -20.654357058847918, 11.293287920270531, -12.194902852647923, 5.946970609895653, -8.930590933051818, -1.428085801734048, 0.9994146732884786, -4.377594196176472, 8.194892118180052, -5.494552815298467, 6.40587898007706]"
56,children_playing,"[-361.2204551379959, 129.88082711243263, -31.462429043323848, -19.893820063502694, -22.22813076465599, -6.0381588177771865, -17.7282838299824, -13.513171385341947, -6.92829441061324, -14.638460030104731, -10.577468239387601, -9.251523931977072, -16.33093427464227, -13.967854111176507, -10.794047887630565, -8.160713781687326, -12.98007670025458, -12.047633649486414, -10.510518378495394, -7.3483180431801065]"
57,children_playing,"[-341.4676415445609, 133.96356818302723, -44.13130804800821, -19.682759080520405, -11.729229492190692, -6.675841801668159, -22.17710835808274, -14.039961698594889, -9.630346536741891, -16.278097692595818, -10.924783477174925, -10.300459993871078, -14.42205391038937, -10.864769444107926, -11.422471394393723, -8.951796232835903, -10.671302761841925, -14.14018164455482, -13.722148079676971, -11.925152700020307]"
58,children_playing,"[-322.1715506514375, 138.7006126796553, -28.414888572559573, -16.80794192683695, -23.183058769188644, -6.35492250675924, -19.169266746001675, -17.958944506319014, -4.704244730191328, -21.662908241252033, -17.812175662021485, -5.615397299448841, -4.003271373501841, -6.506101109633745, -10.352910955342226, -10.833467975147462, -11.02572738131575, -8.45227159902015, -8.99338904760287, -9.12727058757638]"
59,children_playing,"[-286.1736776683624, 128.5587166742513, -34.9389831948215, -22.68808078560956, -20.007089086445454, -7.177823753026294, -19.9878475480817, -19.140858224418885, -4.583440052567484, -22.344658883427464, -15.870552625965928, -1.5197975173582319, -5.567337003733104, -7.225478653568962, -8.685198911259027, -12.585473430801759, -12.036322866137082, -8.560490172269091, -8.632182340586656, -7.637032882629465]"
60,children_playing,"[-315.1799689679079, 130.00081156349822, -38.890472538281784, -12.993404739965293, -17.231739394089587, -7.224149158103933, -28.025886165739983, -12.372647936756174, 4.321670238384827, -18.775582345399037, -12.062702319992736, -7.030620345375051, -9.669187696366821, -3.120541858501689, -4.756137859189538, -7.810190816021354, -11.245975875098091, -9.51170553944546, -5.748820205774477, -6.4631695595141965]"
61,children_playing,"[-357.0662901277101, 133.94692799754023, -31.330137541476176, -16.18739189491871, -14.325612308029482, -1.5125607290824232, -20.51792878325514, -15.733301239373565, 2.2423889068627676, -9.953969424101192, -13.747868136629949, -5.845980219341851, -9.438035373946159, -8.234588849296067, -10.403289092647917, -6.626072422458937, -9.677749302070927, -10.789192496897353, -6.260415120261662, -5.181676201502589]"
62,children_playing,"[-356.8356902771015, 123.3804615924886, -25.03262998594869, -2.6391937200804136, -20.619511172990407, -9.860130631236155, -14.693620631558359, -12.90752987984801, -12.980690194738512, -11.90062059695636, -8.136887594821195, -7.495735276866831, -12.880656674422701, -9.627125911515629, -8.21660476975998, -7.136448221800829, -9.862708819821485, -8.494171436246436, -9.460674812473332, -5.522503660845151]"
63,children_playing,"[-399.9519461050764, 120.51893097125405, -12.462660872453652, -8.554546334121016, -14.136578745477182, -5.931604161737572, -7.805637794007165, -10.82437351470831, -11.88713236622396, -11.25896605408505, -9.992367112558124, -8.3680516864144, -12.072027590529835, -9.482825823392139, -9.67926027910806, -7.789321036892866, -9.511111484199477, -9.021637961238504, -9.39283267250299, -6.110293660034175]"
64,dog_bark,"[-423.6171119229582, 70.8485562711153, 38.04084276341655, 30.15283197137166, 4.940848903867504, -1.8925418915496297, 1.928581709747942, 4.50007734137026, -0.5088674145983716, -3.0744313626368864, 3.9776127390610645, -1.309527055287474, -6.846308555148231, -2.6481614809570284, -2.3159145844856353, -4.1441181637295035, -3.4057006455527397, -2.2596410922768335, -3.582067826332404, -4.28776211537461]"
65,dog_bark,"[-403.2045027695242, 91.58480879774442, 54.575000070676815, 45.07424226669014, 7.11466359546684, -5.425525714270347, 0.8639831747903878, 3.5827524178713688, -3.0640703161484657, -3.8127213061648604, 5.2142022317288, -4.488010438170966, -12.323014776158763, -6.183119540890134, -7.04798994944781, -9.11945670854984, -5.649523132087716, -4.911245044977262, -9.433016377969933, -10.087396595382517]"
66,dog_bark,"[-436.07389227789406, 59.91419295076123, 23.822918317086717, 19.36435828721136, 4.087524472517738, 3.204306336951765, 5.980021800911217, 6.116475943593333, 2.5956708316321766, -0.4547105776777524, 3.0258694288851484, 1.578844758031039, -1.9750086517169079, -1.3271553446774778, -0.7701247027964431, -2.4230220101358495, -1.9027559400032885, -0.774640278053674, -1.081039617600132, 0.1880298106745256]"
67,air_conditioner,"[-168.43662929918352, 33.14986022287155, -34.03119386484819, 42.74300800167044, 4.860799424260963, 19.296126622767133, -6.128449433013212, 14.299318222411518, 7.093845801952446, -3.1305023381026498, 0.8073438007455888, 13.501652749819733, -2.4859067566977093, 1.1091930337745433, 7.8394633045312725, 6.424648332972704, 2.0804567709141955, -0.9525766314847333, 8.08229062886998, 6.239836064379516]"
68,air_conditioner,"[-222.1889104418922, 37.449983009706294, -11.62106857410897, 41.64452817231153, 16.582872115698926, 14.829369598718673, -6.143509569061949, 17.13348795606829, 11.287871227953254, -8.153929503966319, -1.2601744033427367, 19.30210226892097, -4.13611080305507, -2.9262708076547796, 8.431395567067941, 8.750638650403575, 1.9572330029201388, -2.4446872028191198, 10.200067687546573, 7.639630029392278]"
69,air_conditioner,"[-195.1791416654834, 32.227308774141555, -23.04526497383067, 44.294495779586775, 10.423961005859613, 16.859429545273827, -5.388990639607155, 15.849712088186843, 8.895088527895687, -5.504796483101017, -0.44649907593267224, 16.107259326540653, -3.5666765215021643, -1.2226268459770773, 7.819580790764358, 7.317995542832037, 1.7043583546528398, -1.5375084663942966, 9.053498314068447, 6.8550395646551605]"
70,air_conditioner,"[-177.1421572878247, 31.447652605347795, -31.709189967745743, 44.54674217698952, 6.97342545799404, 17.9870063444133, -3.825720572256144, 14.624762992929162, 6.740100805544444, -2.460986443246975, 0.6770182809520253, 13.429326625099641, -2.8934686235134435, 0.1510017266771966, 6.8510987380517125, 6.122225018249026, 2.2633615323359852, -0.21505490864688093, 7.967944860425345, 6.227165421742557]"
